FID,NAME,CITY,STATE,COUNTY,STATUS,TYPE
1464,KNAPP MEDICAL CENTER,WESLACO,TX,HIDALGO,OPEN,GENERAL ACUTE CARE
1465,KELL WEST REGIONAL HOSPITAL,WICHITA FALLS,TX,WICHITA,OPEN,GENERAL ACUTE CARE
1466,MEDICAL CITY DALLAS HOSPITAL,DALLAS,TX,DALLAS,OPEN,GENERAL ACUTE CARE
1467,METHODIST CHARLTON MEDICAL CENTER,DALLAS,TX,DALLAS,OPEN,GENERAL ACUTE CARE
1468,CITY HOSPITAL AT WHITE ROCK,DALLAS,TX,DALLAS,OPEN,GENERAL ACUTE CARE
1469,METHODIST DALLAS MEDICAL CENTER,DALLAS,TX,DALLAS,OPEN,GENERAL ACUTE CARE
1470,CHRISTUS SPOHN HOSPITAL ALICE,ALICE,TX,JIM WELLS,OPEN,GENERAL ACUTE CARE
1471,PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI SOUTH,CORPUS CHRISTI,TX,NUECES,OPEN,GENERAL ACUTE CARE
1472,UNITED MEMORIAL MEDICAL SYSTEMS,HOUSTON,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1473,NORTH CENTRAL BAPTIST HOSPITAL,SAN ANTONIO,TX,BEXAR,OPEN,GENERAL ACUTE CARE
1474,NORTHEAST BAPTIST HOSPITAL,SAN ANTONIO,TX,BEXAR,OPEN,GENERAL ACUTE CARE
1475,CHRISTUS SOUTHEAST TEXAS - ST MARY,PORT ARTHUR,TX,JEFFERSON,OPEN,GENERAL ACUTE CARE
1476,CATSKILL REGIONAL MEDICAL CENTER,HARRIS,NY,SULLIVAN,OPEN,GENERAL ACUTE CARE
1477,FAYETTE COUNTY MEMORIAL HOSPITAL,WASHINGTON CH,OH,FAYETTE,OPEN,CRITICAL ACCESS
1478,CRYSTAL CLINIC ORTHOPAEDIC CENTER,AKRON,OH,SUMMIT,OPEN,SPECIAL
1479,NATIONWIDE CHILDREN'S HOSPITAL,COLUMBUS,OH,FRANKLIN,OPEN,CHILDREN
1480,OHIO HOSPITAL FOR PSYCHIATRY,COLUMBUS,OH,FRANKLIN,OPEN,PSYCHIATRIC
1481,COLEMAN COUNTY MEDICAL CENTER,COLEMAN,TX,COLEMAN,OPEN,CRITICAL ACCESS
1482,"ACCESS HOSPITAL DAYTON, LLC",DAYTON,OH,MONTGOMERY,OPEN,PSYCHIATRIC
1483,DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,EL PASO,TX,EL PASO,OPEN,GENERAL ACUTE CARE
1484,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,CINCINNATI,OH,HAMILTON,OPEN,CHILDREN
1485,ARROWHEAD BEHAVIORAL HEALTH,MAUMEE,OH,LUCAS,OPEN,PSYCHIATRIC
1486,RAINBOW BABIES AND CHILDRENS HOSPITAL,CLEVELAND,OH,CUYAHOGA,OPEN,CHILDREN
1487,WALNUT HILL MEDICAL CENTER,DALLAS,TX,DALLAS,CLOSED,GENERAL ACUTE CARE
1488,UNIVERSITY GENERAL HOSPITAL DALLAS,DALLAS,TX,DALLAS,CLOSED,GENERAL ACUTE CARE
1489,CUERO COMMUNITY HOSPITAL,CUERO,TX,DEWITT,OPEN,GENERAL ACUTE CARE
1490,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,BAYTOWN,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1491,"WOODS AT PARKSIDE,THE",COLUMBUS,OH,FRANKLIN,OPEN,SPECIAL
1492,DAYTON CHILDREN'S HOSPITAL,DAYTON,OH,MONTGOMERY,OPEN,CHILDREN
1493,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,HOUSTON,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1494,COVENANT MEDICAL CENTER - LAKESIDE,LUBBOCK,TX,LUBBOCK,OPEN,GENERAL ACUTE CARE
1495,ESSENTIA HEALTH ST MARYS HSPTL SUPERIOR,SUPERIOR,WI,DOUGLAS,OPEN,GENERAL ACUTE CARE
1496,FLAMBEAU HSPTL,PARK FALLS,WI,PRICE,OPEN,GENERAL ACUTE CARE
1497,FOND DU LAC CTY ACUTE PSYCH UNIT,FOND DU LAC,WI,FOND DU LAC,OPEN,PSYCHIATRIC
1498,VIBRA HOSPITAL OF BOISE,MERIDIAN,ID,ADA,OPEN,GENERAL ACUTE CARE
1499,NELL J. REDFIELD MEMORIAL HOSPITAL,MALAD CITY,ID,ONEIDA,OPEN,GENERAL ACUTE CARE
1500,KINDRED HOSPITAL INDIANAPOLIS,INDIANAPOLIS,IN,MARION,OPEN,LONG TERM CARE
1501,LOGANSPORT STATE HOSPITAL,LOGANSPORT,IN,CASS,OPEN,PSYCHIATRIC
1502,CHI HEALTH ST MARY'S,NEBRASKA CITY,NE,OTOE,OPEN,CRITICAL ACCESS
1503,UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,GALVESTON,TX,GALVESTON,OPEN,GENERAL ACUTE CARE
1504,FORT MEMORIAL HEALTHCARE,FORT ATKINSON,WI,JEFFERSON,OPEN,GENERAL ACUTE CARE
1505,MEMORIAL HERMANN SOUTHWEST HOSPITAL,HOUSTON,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1506,CHICKASAW NATION MEDICAL CENTER,ADA,OK,PONTOTOC,OPEN,CRITICAL ACCESS
1507,STANDING ROCK INDIAN HEALTH SERVICES HOSPITAL,FORT YATES,ND,SIOUX,OPEN,CRITICAL ACCESS
1508,FROEDTERT MEM LUTHERAN HSPTL,MILWAUKEE,WI,MILWAUKEE,OPEN,GENERAL ACUTE CARE
1509,PINE RIDGE HOSPITAL,PINE RIDGE,SD,SHANNON,OPEN,CRITICAL ACCESS
1510,CLAREMORE HOSPITAL,CLAREMORE,OK,ROGERS,OPEN,CRITICAL ACCESS
1511,WINNEBAGO HOSPITAL,WINNEBAGO,NE,THURSTON,OPEN,CRITICAL ACCESS
1512,COMMUNITY HOSPITAL ONAGA LTCU,ST MARYS,KS,POTTAWATOMIE,OPEN,LONG TERM CARE
1513,GRISELL MEMORIAL HOSPITAL LTCU,RANSOM,KS,NESS,OPEN,LONG TERM CARE
1514,KIOWA DISTRICT HOSPITAL,KIOWA,KS,BARBER,OPEN,CRITICAL ACCESS
1515,MS BAND OF CHOCTAW HOSPITAL,CHOCTAW,MS,NESHOBA,OPEN,CRITICAL ACCESS
1516,FROEDTERT SOUTH KENOSHA MEDICAL CENTER,KENOSHA,WI,KENOSHA,OPEN,GENERAL ACUTE CARE
1517,FROEDTERT SOUTH ST CATHERINES MEDICAL CENTER,PLEASANT PRAIRIE,WI,KENOSHA,OPEN,GENERAL ACUTE CARE
1518,GRANT REG HLTH CTR,LANCASTER,WI,GRANT,OPEN,GENERAL ACUTE CARE
1519,REYNOLDS ARMY COMMUNITY HOSPITAL,FORT SILL,OK,COMANCHE,OPEN,MILITARY
1520,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,BOSCOBEL,WI,GRANT,OPEN,CRITICAL ACCESS
1521,PHS INDIAN HOSPITAL AT BROWNING BLACKFEET,BROWNING,MT,GLACIER,OPEN,CRITICAL ACCESS
1522,RICHARD L. ROUDEBUSH VA MEDICAL CENTER,INDIANAPOLIS,IN,MARION,OPEN,MILITARY
1523,MONCRIEF ARMY COMMUNITY HOSPITAL,FORT JACKSON,SC,RICHLAND,OPEN,MILITARY
1524,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,HOUSTON,TX,HARRIS,OPEN,LONG TERM CARE
1525,VA MEDICAL CENTER - MANCHESTER,MANCHESTER,NH,HILLSBOROUGH,OPEN,MILITARY
1526,CHI ST JOSEPH HEALTH MADISON HOSPITAL,MADISONVILLE,TX,MADISON,OPEN,CRITICAL ACCESS
1527,GEORGE E. WAHLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,SALT LAKE CITY,UT,SALT LAKE,OPEN,MILITARY
1528,VA MEDICAL CENTER - H.J. HEINZ CAMPUS,PITTSBURGH,PA,ALLEGHENY,OPEN,MILITARY
1529,VA CENTRAL WESTERN MASSACHUSETTS HEALTHCARE SYSTEM,NORTHAMPTON,MA,HAMPSHIRE,OPEN,MILITARY
1530,SCOTT COUNTY HOSPITAL,SCOTT CITY,KS,SCOTT,OPEN,GENERAL ACUTE CARE
1531,VA MEDICAL CENTER - CHEYENNE,CHEYENNE,WY,LARAMIE,OPEN,MILITARY
1532,VA MEDICAL CENTER - SHERIDAN,SHERIDAN,WY,SHERIDAN,OPEN,MILITARY
1533,VA MEDICAL CENTER - VANCOUVER CAMPUS,VANCOUVER,WA,CLARK,OPEN,MILITARY
1534,VA MEDICAL CENTER - BROCKTON DIVISION,BROCKTON,MA,PLYMOUTH,OPEN,MILITARY
1535,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,RICHMOND,VA,RICHMOND CITY,OPEN,GENERAL ACUTE CARE
1536,SELECT SPECIALTY HOSPITAL - DALLAS,CARROLLTON,TX,DALLAS,OPEN,LONG TERM CARE
1537,SAINT ALPHONSUS EAGLE HEALTH PLZ-ER,EAGLE,ID,ADA,OPEN,GENERAL ACUTE CARE
1538,UT HEALTH EAST TEXAS QUITMAN,QUITMAN,TX,WOOD,OPEN,CRITICAL ACCESS
1539,HARDEMAN COUNTY MEMORIAL HOSPITAL,QUANAH,TX,HARDEMAN,OPEN,CRITICAL ACCESS
1540,ROUND ROCK MEDICAL CENTER,ROUND ROCK,TX,WILLIAMSON,OPEN,GENERAL ACUTE CARE
1541,MEMORIAL HOSPITAL,SEMINOLE,TX,GAINES,OPEN,CRITICAL ACCESS
1542,SHAMROCK GENERAL HOSPITAL,SHAMROCK,TX,WHEELER,OPEN,CRITICAL ACCESS
1543,LIFECARE HOSPITALS OF FORT WORTH,FORT WORTH,TX,TARRANT,OPEN,LONG TERM CARE
1544,KINDRED HOSPITAL - FORT WORTH,FORT WORTH,TX,TARRANT,OPEN,LONG TERM CARE
1545,REGENCY HOSPITAL OF FORT WORTH,FORT WORTH,TX,TARRANT,OPEN,LONG TERM CARE
1546,EL PASO CHILDREN'S HOSPITAL,EL PASO,TX,EL PASO,OPEN,CHILDREN
1547,OVERLOOK MEDICAL CENTER,UNION,NJ,UNION,OPEN,GENERAL ACUTE CARE
1548,KINDRED HOSPITAL EAST HOUSTON,CHANNELVIEW,TX,HARRIS,CLOSED,LONG TERM CARE
1549,BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN,SHERMAN,TX,GRAYSON,OPEN,GENERAL ACUTE CARE
1550,BAYLOR SCOTT & WHITE HOSPITAL - TAYLOR,TAYLOR,TX,WILLIAMSON,OPEN,CRITICAL ACCESS
1551,CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,SULPHUR SPRINGS,TX,HOPKINS,OPEN,GENERAL ACUTE CARE
1552,SOLARA HOSPITAL HARLINGEN,HARLINGEN,TX,CAMERON,OPEN,LONG TERM CARE
1553,UNIVERSITY OF TEXAS HEALTH CENTER - TYLER,TYLER,TX,SMITH,OPEN,GENERAL ACUTE CARE
1554,LAREDO SPECIALTY HOSPITAL,LAREDO,TX,WEBB,OPEN,LONG TERM CARE
1555,COVENANT SPECIALTY HOSPITAL,LUBBOCK,TX,LUBBOCK,OPEN,LONG TERM CARE
1556,KINDRED HOSPITAL - MANSFIELD,MANSFIELD,TX,TARRANT,OPEN,LONG TERM CARE
1557,UNITED REGIONAL HEALTH CARE SYSTEM,WICHITA FALLS,TX,WICHITA,OPEN,GENERAL ACUTE CARE
1558,PAM SPECIALITY HOSPITAL OF NEW BRAUNFELS,NEW BRAUNFELS,TX,COMAL,OPEN,LONG TERM CARE
1559,MID-JEFFERSON EXTENDED CARE HOSPITAL,NEDERLAND,TX,JEFFERSON,OPEN,LONG TERM CARE
1560,CORNERSTONE HOSPITAL OF HOUSTON - CLEAR LAKE,WEBSTER,TX,HARRIS,OPEN,LONG TERM CARE
1561,"SOLARA HOSPITAL HARLINGEN, BROWNSVILLE CAMPUS",BROWNSVILLE,TX,CAMERON,OPEN,LONG TERM CARE
1562,SPRING EXCELLENCE SURGICAL HOSPITAL LLC,SPRING,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1563,HERMANN DRIVE SURGICAL HOSPITAL LP,HOUSTON,TX,HARRIS,OPEN,GENERAL ACUTE CARE
1564,CORNERSTONE HOSPITAL HOUSTON - BELLAIRE,HOUSTON,TX,HARRIS,OPEN,LONG TERM CARE
1565,KINDRED HOSPITAL TOWN & COUNTRY,HOUSTON,TX,HARRIS,OPEN,LONG TERM CARE
1566,NEXUS SPECIALTY HOSPITAL - THE WOODLANDS,THE WOODLANDS,TX,MONTGOMERY,OPEN,LONG TERM CARE
1567,AUSTIN VA OUTPATIENT CLINIC,AUSTIN,TX,TRAVIS,OPEN,MILITARY
1568,THE CORPUS CHRISTI MEDICAL CENTER - DOCTORS REGIONAL,CORPUS CHRISTI,TX,NUECES,OPEN,GENERAL ACUTE CARE
1569,BAYLOR SCOTT & WHITE MCLANE CHILDREN'S MEDICAL CENTER,TEMPLE,TX,BELL,OPEN,CHILDREN
1570,ADVENTHEALTH CENTRAL TEXAS,KILLEEN,TX,BELL,OPEN,GENERAL ACUTE CARE
1571,KINDRED HOSPITAL NORTH HOUSTON,HOUSTON,TX,HARRIS,CLOSED,LONG TERM CARE
1572,CHRISTUS SPOHN HOSPITAL BEEVILLE,BEEVILLE,TX,BEE,OPEN,GENERAL ACUTE CARE
1573,CHRISTUS SANTA ROSA HOSPITAL - WESTOVER HILLS,SAN ANTONIO,TX,BEXAR,OPEN,GENERAL ACUTE CARE
1574,BAPTIST MEDICAL CENTER,SAN ANTONIO,TX,BEXAR,OPEN,GENERAL ACUTE CARE
1575,KAISER FOUNDATION HOSPITAL,HONOLULU,HI,HONOLULU,OPEN,GENERAL ACUTE CARE
1576,KONA COMMUNITY HOSPITAL,KEALAKEKUA,HI,HAWAII,OPEN,GENERAL ACUTE CARE
1577,KUAKINI MEDICAL CENTER,HONOLULU,HI,HONOLULU,OPEN,GENERAL ACUTE CARE
1578,SETON SHOAL CREEK HOSPITAL,AUSTIN,TX,TRAVIS,OPEN,PSYCHIATRIC
1579,AUSTIN LAKES HOSPITAL,AUSTIN,TX,TRAVIS,OPEN,PSYCHIATRIC
1580,HICKORY TRAIL HOSPITAL,DE SOTO,TX,DALLAS,OPEN,PSYCHIATRIC
1581,UNIVERSITY BEHAVIORAL HEALTH OF DENTON,DENTON,TX,DENTON,OPEN,PSYCHIATRIC
1582,EL PASO BEHAVIORAL HEALTH SYSTEM,EL PASO,TX,EL PASO,OPEN,PSYCHIATRIC
1583,RIO GRANDE STATE CENTER,HARLINGEN,TX,CAMERON,OPEN,PSYCHIATRIC
1584,HOUSTON BEHAVIORAL HEALTHCARE HOSPITAL LLC,HOUSTON,TX,HARRIS,OPEN,PSYCHIATRIC
1585,KERRVILLE STATE HOSPITAL,KERRVILLE,TX,KERR,OPEN,PSYCHIATRIC
1586,DEVEREUX TEXAS TREATMENT NETWORK,LEAGUE CITY,TX,GALVESTON,OPEN,PSYCHIATRIC
1587,RIVER CREST HOSPITAL,SAN ANGELO,TX,TOM GREEN,OPEN,PSYCHIATRIC
1588,LAUREL RIDGE TREATMENT CENTER,SAN ANTONIO,TX,BEXAR,OPEN,PSYCHIATRIC
1589,TERRELL STATE HOSPITAL,TERRELL,TX,KAUFMAN,OPEN,PSYCHIATRIC
1590,ASCENSION DEPAUL CENTER,WACO,TX,MCLENNAN,OPEN,PSYCHIATRIC
1591,LONE STAR BEHAVIORAL HEALTH CYPRESS,CYPRESS,TX,HARRIS,OPEN,PSYCHIATRIC
1592,MONTGOMERY COUNTY MENTAL HEALTH TREATMENT FACILITY,CONROE,TX,MONTGOMERY,OPEN,PSYCHIATRIC
1593,MESA SPRINGS,FORT WORTH,TX,TARRANT,OPEN,PSYCHIATRIC
1594,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN,LUFKIN,TX,ANGELINA,OPEN,PSYCHIATRIC
1595,ROCK PRAIRIE BEHAVIORAL HEALTH,COLLEGE STATION,TX,BRAZOS,OPEN,PSYCHIATRIC
1596,HOPEBRIDGE HOSPITAL,HOUSTON,TX,HARRIS,CLOSED,PSYCHIATRIC
1597,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,FRISCO,TX,COLLIN,OPEN,PSYCHIATRIC
1598,WELLBRIDGE HOSPITAL OF PLANO,PLANO,TX,COLLIN,OPEN,PSYCHIATRIC
1599,SUNDANCE HOSPITAL DALLAS,GARLAND,TX,DALLAS,OPEN,PSYCHIATRIC
1600,TMC BEHAVIORAL HEALTH CENTER,SHERMAN,TX,GRAYSON,OPEN,PSYCHIATRIC
1601,JPS HEALTH NETWORK - TRINITY SPRINGS NORTH,FORT WORTH,TX,TARRANT,OPEN,PSYCHIATRIC
1602,WELLBRIDGE HOSPITAL OF FORT WORTH,FORT WORTH,TX,TARRANT,OPEN,PSYCHIATRIC
1603,CROSS CREEK HOSPITAL,AUSTIN,TX,TRAVIS,OPEN,PSYCHIATRIC
1604,GUNDERSEN LUTH MED CTR,LA CROSSE,WI,LA CROSSE,OPEN,GENERAL ACUTE CARE
1605,MOLOKAI GENERAL HOSPITAL,KAUNAKAKAI,HI,MAUI,OPEN,GENERAL ACUTE CARE
1606,KAPIOLANI MEDICAL CENTER,HONOLULU,HI,HONOLULU,OPEN,CHILDREN
1607,PALI MOMI MEDICAL CENTER,AIEA,HI,HONOLULU,OPEN,GENERAL ACUTE CARE
1608,ST. DAVID'S REHABILITATION CENTER,AUSTIN,TX,TRAVIS,OPEN,REHABILITATION
1609,HEALTHSOUTH REHABILITATION HOSPITAL OF AUSTIN,AUSTIN,TX,TRAVIS,CLOSED,REHABILITATION
1610,SELECT REHABILITATION HOSPITAL OF DENTON,DENTON,TX,DENTON,OPEN,REHABILITATION
1611,HIGHLANDS REGIONAL REHABILITATION HOSPITAL,EL PASO,TX,EL PASO,OPEN,REHABILITATION
1612,TIRR MEMORIAL HERMANN,HOUSTON,TX,HARRIS,OPEN,REHABILITATION
1613,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDLAND/ODESSA,MIDLAND,TX,MIDLAND,OPEN,REHABILITATION
1614,ENCOMPASS HEALTH HOSPITAL OF ROUND ROCK,ROUND ROCK,TX,WILLIAMSON,OPEN,REHABILITATION
1615,WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,BEXAR,OPEN,REHABILITATION
1616,CHRISTUS ST. MICHAEL REHABILITATION HOSPITAL,TEXARKANA,TX,BOWIE,OPEN,REHABILITATION
1617,UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,TYLER,TX,SMITH,OPEN,REHABILITATION
1618,BAYLOR INSTITUTE FOR REHABILITATION AT FORT WORTH,FORT WORTH,TX,TARRANT,OPEN,REHABILITATION
1619,BAYLOR INSTITUTE FOR REHABILITATION AT FRISCO,FRISCO,TX,COLLIN,OPEN,REHABILITATION
1620,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CYPRESS,HOUSTON,TX,HARRIS,OPEN,REHABILITATION
1621,ENCOMPASS HEALTH REHABILITATION HOSPITAL THE VINTAGE,HOUSTON,TX,HARRIS,OPEN,REHABILITATION
1622,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,CULLMAN,OPEN,GENERAL ACUTE CARE
1623,WARM SPRINGS REHABILITATION HOSPITAL OF THOUSAND OAKS,SAN ANTONIO,TX,BEXAR,OPEN,REHABILITATION
1624,CENTRAL TEXAS REHABILIATION HOSPITAL,AUSTIN,TX,TRAVIS,OPEN,REHABILITATION
1625,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,ARLINGTON,TX,TARRANT,OPEN,SPECIAL
1626,CHRISTUS SOUTHEAST TEXAS ORTHOPEDIC SPECIALTY CENTER,BEAUMONT,TX,JEFFERSON,OPEN,SPECIAL
1627,TEXAS ORTHOPEDIC HOSPITAL,HOUSTON,TX,HARRIS,OPEN,SPECIAL
1628,BAYLOR SCOTT AND WHITE THE HEART HOSPITAL PLANO,PLANO,TX,COLLIN,OPEN,SPECIAL
1629,TEXAS INSTITUTE FOR SURGERY AT TEXAS HEALTH PRESBYTERIAN DALLAS,DALLAS,TX,DALLAS,OPEN,SPECIAL
1630,THE CORPUS CHRISTI MEDICAL CENTER - THE HEART HOSPITAL,CORPUS CHRISTI,TX,NUECES,OPEN,SPECIAL
1631,WISE HEALTH SURGECAL HOSPITAL,FORT WORTH,TX,TARRANT,OPEN,SPECIAL
1632,ST DAVIDS SURGICAL HOSPITAL A CAMPUS OF NORTH AUSTIN MEDICAL CTR,AUSTIN,TX,WILLIAMSON,OPEN,SPECIAL
1633,CURAHEALTH HOSPITAL OF TUCSON,TUCSON,AZ,PIMA,OPEN,LONG TERM CARE
1634,PALO VERDE BEHAVIORAL HEALTH,TUCSON,AZ,PIMA,OPEN,PSYCHIATRIC
1635,"NOLAND HOSPITAL SHELBY, LLC",ALABASTER,AL,SHELBY,OPEN,LONG TERM CARE
1636,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,LAUDERDALE,OPEN,GENERAL ACUTE CARE
1637,GUNDERSEN ST JOSEPHS HLTH SVCS,HILLSBORO,WI,VERNON,OPEN,GENERAL ACUTE CARE
1638,MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,MARSHALL,OPEN,GENERAL ACUTE CARE
1639,CAVHCS WEST CAMPUS,MONTGOMERY,AL,MONTGOMERY,OPEN,MILITARY
1640,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,DECATUR,AL,MORGAN,OPEN,GENERAL ACUTE CARE
1641,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,GADSDEN,AL,ETOWAH,OPEN,REHABILITATION
1642,FLOWERS HOSPITAL,DOTHAN,AL,HOUSTON,OPEN,GENERAL ACUTE CARE
1643,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,DEKALB,OPEN,GENERAL ACUTE CARE
1644,RUSSELL HOSPITAL,ALEXANDER CITY,AL,TALLAPOOSA,OPEN,GENERAL ACUTE CARE
1645,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,AL,JEFFERSON,OPEN,GENERAL ACUTE CARE
1646,WAHIAWA GENERAL HOSPITAL,WAHIAWA,HI,HONOLULU,OPEN,GENERAL ACUTE CARE
1647,KAHI MOHALA,EWA BEACH,HI,HONOLULU,OPEN,PSYCHIATRIC
1648,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,JEFFERSON,OPEN,GENERAL ACUTE CARE
1649,HILO MEDICAL CENTER,HILO,HI,HAWAII,OPEN,GENERAL ACUTE CARE
1650,CHEROKEE MENTAL HEALTH INSTITUTE,CHEROKEE,IA,CHEROKEE,OPEN,PSYCHIATRIC
1651,SANFORD SHELDON MEDICAL CENTER,SHELDON,IA,O'BRIEN,OPEN,CRITICAL ACCESS
1652,MERCY MEDICAL CENTER-CLINTON,CLINTON,IA,CLINTON,OPEN,GENERAL ACUTE CARE
1653,CENTRAL COMMUNITY HOSPITAL,ELKADER,IA,CLAYTON,OPEN,CRITICAL ACCESS
1654,MARENGO MEMORIAL HOSPITAL,MARENGO,IA,IOWA,OPEN,CRITICAL ACCESS
1655,NORTH IOWA MEDICAL CENTER WEST CAMPUS,MASON CITY,IA,CERRO GORDO,OPEN,GENERAL ACUTE CARE
1656,MENTAL HEALTH INSTITUTE,MOUNT PLEASANT,IA,HENRY,OPEN,PSYCHIATRIC
1657,BEAR LAKE MEMORIAL HOSPITAL,MONTPELIER,ID,BEAR LAKE,OPEN,GENERAL ACUTE CARE
1658,NORTHWEST SPECIALTY HOSPITAL,POST FALLS,ID,KOOTENAI,OPEN,GENERAL ACUTE CARE
1659,GUNDERSEN TRI COUNTY MEM HSPTL,WHITEHALL,WI,TREMPEALEAU,OPEN,GENERAL ACUTE CARE
1660,TREASURE VALLEY HOSPITAL,BOISE,ID,ADA,OPEN,GENERAL ACUTE CARE
1661,CHI HEALTH LAKESIDE,OMAHA,NE,DOUGLAS,OPEN,GENERAL ACUTE CARE
1662,ANNA HOSPITAL CORPORATION - DBA UNION COUNTY HOSPITAL,ANNA,IL,UNION,OPEN,CRITICAL ACCESS
1663,GOTTLEB CO HEALTH SERVICES CORPORATION DBA MACNEAL HOSPITAL,BERWYN,IL,COOK,OPEN,GENERAL ACUTE CARE
1664,COMMUNITY FIRST HEALTHCARE OF ILLINOIS DBA MEDICAL CENTER,CHICAGO,IL,COOK,OPEN,GENERAL ACUTE CARE
1665,VIBRA HOSPITAL OF SAN DIEGO,SAN DIEGO,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
1666,ALHAMBRA HOSPITAL,ALHAMBRA,CA,LOS ANGELES,OPEN,GENERAL ACUTE CARE
1667,SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON,CA,CONTRA COSTA,OPEN,GENERAL ACUTE CARE
1668,LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CENTER D/P S,LOMPOC,CA,SANTA BARBARA,OPEN,GENERAL ACUTE CARE
1669,BETHESDA REHABILITATION HOSPITAL,BATON ROUGE,LA,EAST BATON ROUGE,OPEN,REHABILITATION
1670,SAGE REHABILITATION INSTITUTE,BATON ROUGE,LA,EAST BATON ROUGE,OPEN,REHABILITATION
1671,STERLINGTON REHABILITATION HOSPITAL,BASTROP,LA,MOREHOUSE,OPEN,REHABILITATION
1672,NAVAL HOSPITAL LEMOORE,LEMOORE,CA,KINGS,OPEN,MILITARY
1673,LOS ANGELES AMBULATORY CARE CENTER,LOS ANGELES,CA,LOS ANGELES,OPEN,MILITARY
1674,EXODUS RECOVERY PHF,CULVER CITY,CA,LOS ANGELES,OPEN,PSYCHIATRIC
1675,UNIVERSITY MEDICAL CENTER NEW ORLEANS,NEW ORLEANS,LA,ORLEANS,OPEN,GENERAL ACUTE CARE
1676,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,REDLANDS,CA,SAN BERNARDINO,OPEN,PSYCHIATRIC
1677,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,CORONADO,CA,SAN DIEGO,OPEN,GENERAL ACUTE CARE
1678,VA MEDICAL CENTER - PALO ALTO DIVISION,PALO ALTO,CA,SANTA CLARA,OPEN,MILITARY
1679,JEWISH HOME,SAN FRANCISCO,CA,SAN FRANCISCO,OPEN,PSYCHIATRIC
1680,KAISER FND HOSP - SAN FRANCISCO,SAN FRANCISCO,CA,SAN FRANCISCO,OPEN,GENERAL ACUTE CARE
1681,ADVENTIST MEDICAL CENTER HANFORD,HANFORD,CA,KINGS,OPEN,GENERAL ACUTE CARE
1682,FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,CA,SAN LUIS OBISPO,OPEN,GENERAL ACUTE CARE
1683,VA MEDICAL CENTER - MENLO PARK DIVISION,MENLO PARK,CA,SAN MATEO,OPEN,MILITARY
1684,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,VENTURA,CA,VENTURA,OPEN,GENERAL ACUTE CARE
1685,OJAI VALLEY COMMUNITY HOSPITAL,OJAI,CA,VENTURA,OPEN,GENERAL ACUTE CARE
1686,SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,SANTA ROSA,CA,SONOMA,OPEN,GENERAL ACUTE CARE
1687,SUTTER MEDICAL CENTER OF SANTA ROSA,SANTA ROSA,CA,SONOMA,CLOSED,GENERAL ACUTE CARE
1688,SANTA YNEZ VALLEY COTTAGE HOSPITAL,SOLVANG,CA,SANTA BARBARA,OPEN,GENERAL ACUTE CARE
